#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTOOLTIPCRISISCULTURE0;will become [Root.Culture.GetGroupName].;;;;;;;;;;;;;x
EVTDESCCRISISCULTURE0;Due to the influence of [From.GetFullName], you have begun to adapt the customs and culture of the [From.Culture.GetGroupName] people.;;;;;;;;;;;;;x
CB_NAME_CULTURAL_LIBERATION;Nationalist Liberation of the [Title.GetBaseName] Sector;;;;;;;;;;;;;x
cultural_liberation_desc;§Y$CLAIMANT$§! can use this Casus Belli to liberate all of §Y$TARGET$§!'s provinces in the §Y$TITLE$§! that share their culture group.;;;;;;;;;;;;x
WAR_NAME_CULTURAL_LIBERATION;$ORDER$[Actor.Culture.GetGroupName] Nationalist War for the $OTHER_TITLE$ Sector;;;;;;;;;;;;;x
terran_group;Terran;Terriens;Terraner;;Terrícolas;;;;;;;;;x
terran;Terran;Terrien;Terraner;;Terrícola;;;;;;;;;x
terran;Arab;Terrien;Arabischer Terraner;;Terrícola;;;;;;;;;x
east_afro_terran;East African;Terrien;Ostafrikanischer Terraner;;Terrícola;;;;;;;;;x
terran;Ethiopian;Terrien;Ethiopischer Terraner;;Terrícola;;;;;;;;;x
terran;Spanish-American;Terrien;Terraner;;Terrícola;;;;;;;;;x
terran;Indian;Terrien;Terraner;;Terrícola;;;;;;;;;x
iranian_terran;Iranian;Terrien;Iranischer Terraner;;Terrícola;;;;;;;;;x
japanese_terran;Japanese;Terrien;Japanischer Terraner;;Terrícola;;;;;;;;;x
terran;Mesoamerican;Terrien;Mesoamerikanischer Terraner;;Terrícola;;;;;;;;;x
terran;Terrien;Russischer Terraner;;Terrícola;;;;;;;;;x
terran;Terrien;Terraner;;Terrícola;;;;;;;;;x
terran;Terrien;West Afrikanischer Terraner;;Terrícola;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
xingjie_group;Xingjie;Xingjie;Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Arabischer Xingjie;;Xingjie;;;;;;;;;x
east_afro_xingjie;Xingjie;Xingjie;Ostafrikanischer Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Ethiopischer Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Xingjie;;Xingjie;;;;;;;;;x
iranian_xingjie;Xingjie;Xingjie;Iranischer Xingjie;;Xingjie;;;;;;;;;x
japanese_xingjie;Xingjie;Xingjie;Japanischer Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Mesoamerikanischer Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Russischer Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;Xingjie;;Xingjie;;;;;;;;;x
xingjie;Xingjie;Xingjie;West Afrikanischer Xingjie;;Xingjie;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
celestean_group;Celestian;Celestian;Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Arabischer Celestian;;Celestian;;;;;;;;;x
east_afro_celestean;Celestian;Celestian;Ostafrikanischer Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Ethiopischer Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Celestian;;Celestian;;;;;;;;;x
iranian_celestean;Celestian;Celestian;Iranischer Celestian;;Celestian;;;;;;;;;x
japanese_celestean;Celestian;Celestian;Japanischer Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Mesoamerikanischer Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Russischer Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;Celestian;;Celestian;;;;;;;;;x
celestean;Celestian;Celestian;West Afrikanischer Celestian;;Celestian;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
sexto_solar_group;Sexto Solar;Sexto Solar;Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Arabischer Sexto Solar;;Sexto Solar;;;;;;;;;x
east_afro_sexto_solar;Sexto Solar;Sexto Solar;Ostafrikanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Ethiopischer Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Sexto Solar;;Sexto Solar;;;;;;;;;x
iranian_sexto_solar;Sexto Solar;Sexto Solar;Iranischer Sexto Solar;;Sexto Solar;;;;;;;;;x
japanese_sexto_solar;Sexto Solar;Sexto Solar;Japanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Mesoamerikanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Russischer Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;Sexto Solar;;Sexto Solar;;;;;;;;;x
sexto_solar;Sexto Solar;Sexto Solar;West Afrikanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
samawati_group;Samawati;Samawati;Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Arabischer Samawati;;Samawati;;;;;;;;;x
east_afro_samawati;Samawati;Samawati;Ostafrikanischer Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Ethiopischer Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Samawati;;Samawati;;;;;;;;;x
iranian_samawati;Samawati;Samawati;Iranischer Samawati;;Samawati;;;;;;;;;x
japanese_samawati;Samawati;Samawati;Japanischer Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Mesoamerikanischer Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Russischer Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;Samawati;;Samawati;;;;;;;;;x
samawati;Samawati;Samawati;West Afrikanischer Samawati;;Samawati;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
angani_group;Angani;Angani;Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Arabischer Angani;;Angani;;;;;;;;;x
east_afro_angani;Angani;Angani;Ostafrikanischer Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Ethiopischer Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Angani;;Angani;;;;;;;;;x
iranian_angani;Angani;Angani;Iranischer Angani;;Angani;;;;;;;;;x
japanese_angani;Angani;Angani;Japanischer Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Mesoamerikanischer Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Russischer Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;Angani;;Angani;;;;;;;;;x
angani;Angani;Angani;West Afrikanischer Angani;;Angani;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
frontiersman_group;Frontiersman;Frontiersman;Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Arabischer Frontiersman;;Frontiersman;;;;;;;;;x
east_afro_frontiersman;Frontiersman;Frontiersman;Ostafrikanischer Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Ethiopischer Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Frontiersman;;Frontiersman;;;;;;;;;x
iranian_frontiersman;Frontiersman;Frontiersman;Iranischer Frontiersman;;Frontiersman;;;;;;;;;x
japanese_frontiersman;Frontiersman;Frontiersman;Japanischer Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Mesoamerikanischer Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Russischer Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;Frontiersman;;Frontiersman;;;;;;;;;x
frontiersman;Frontiersman;Frontiersman;West Afrikanischer Frontiersman;;Frontiersman;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
imperial_group;Imperial;Centauri;Centauri;;Centauri;;;;;;;;;x
imperial;Imperial;Centauri;Centauri;;Centauri;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
centauri_group;Centauri;Centauri;Centauri;;Centauri;;;;;;;;;x
centauri;Centauri;Centauri;Centauri;;Centauri;;;;;;;;;x
centauri;Centauri;Centauri;Centauri;;Centauri;;;;;;;;;x
centauri;Centauri;Centauri;Arabischer Centauri;;Centauri;;;;;;;;;x
