#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_expected_successor;Expected Successor;;;;;;;;;;;;;x
title_expected_successor_desc;This character is currently expected to succeed their superior upon their death or retirement.;;;;;;;;;;;;;x
opinion_promised_me_appointment;Promised an Appointed Title;;;;;;;;;;;;;x
opinion_refused_me_appointment;Refused an Appointed Title;;;;;;;;;;;;;x
opinion_retracted_promised_appointment;Retracted a Promised Appointed Title;;;;;;;;;;;;;x
opinion_stole_promised_appointment;Stole My Future Appointed Title;;;;;;;;;;;;;x
opinion_attempted_appointment_theft;Tried to Steal My Future Appointed Title;;;;;;;;;;;;;x
opinion_nominated_me_for_appointment;Nominated Me For Appointed Title;;;;;;;;;;;;;x
opinion_promised_relative_appointment;Promised a Relative an Appointed Title;;;;;;;;;;;;;x
opinion_refused_relative_appointment;Refused a Relative an Appointed Title;;;;;;;;;;;;;x
opinion_retracted_relative_appointment;Retracted a Relative's Promised Appointed Title;;;;;;;;;;;;;x
open_appointment_nomination_menu;Open Appointment Menu;;;;;;;;;;;;;x
open_appointment_nomination_menu_desc;Access decisions allowing you to nominate either yourself or your relatives as the Expected Successors to various Appointed titles.;;;;;;;;;;;;;x
close_appointment_nomination_menu;Close Appointment Menu;;;;;;;;;;;;;x
close_appointment_nomination_menu_menu_desc;Hide appointment nomination decisions to clear up some space on the decision list.;;;;;;;;;;;;;x
stand_down_decision;Stand Down as [From.GetTitle];;;;;;;;;;;;;x
stand_down_decision_desc;You consider yourself no longer fit to lead. You have decided to stand down.;;;;;;;;;;;;;x
nominate_self_for_appointment;Nominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
nominate_self_for_appointment_desc;[Root.Liege.GetCOTCShortName] currently controls an appointed office. You could approach [Root.Liege.Liege.GetCOTCShortName] and suggest that [Root.Liege.Liege.GetSheHe] appoint you as [Root.Liege.GetHerHis] successor.;;;;;;;;;;;;;x
nominate_relative_for_appointment;Nominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
nominate_relative_for_appointment_desc;[Root.GetCOTCName]'s superior, [Root.Liege.GetCOTCShortName], currently controls an appointed office. You could approach [Root.Liege.Liege.GetCOTCShortName] and suggest that [Root.Liege.Liege.GetSheHe] appoint [Root.GetCOTCVeryShortName] as [Root.Liege.GetCOTCVeryShortName]'s successor.;;;;;;;;;;;;;x
nominate_nonrelative_for_appointment;Nominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
nominate_nonrelative_for_appointment_desc;[Root.GetCOTCName]'s superior, [Root.Liege.GetCOTCShortName], currently controls an appointed office. You could approach [Root.Liege.Liege.GetCOTCShortName] and suggest that [Root.Liege.Liege.GetSheHe] appoint [Root.GetCOTCVeryShortName] as [Root.Liege.GetCOTCVeryShortName]'s successor.;;;;;;;;;;;;;x
ALREADYSUCCESSOR;[This.GetCOTCName] is not already [This.Liege.GetCOTCName]'s Expected Successor.\n;;;;;;;;;;;;;x
EVTDESCNEPOTISM3;You have appointed [From.GetCOTCName] to [FromFrom.GetCOTCName]'s former offices.;;;;;;;;;;;;;x
EVTDESCNEPOTISM4;[From.GetCOTCShortName] has appointed [FromFrom.GetCOTCName] to several of your former offices.;;;;;;;;;;;;;x
EVTDESCNEPOTISM5;TO: [Root.GetCOTCName]\nFROM: [FromFrom.GetCOTCName]\nRE: Appointment to Office\n[From.GetCOTCName]'s departure has left critical vacancies. As previously agreed, I am appointing you to fill those vacancies.;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM100;You will prepare to approach [Root.Liege.Liege.GetCOTCShortName].;;;;;;;;;;;;;x
EVTDESCNEPOTISM100;You have to decided to suggest to [appointer.GetCOTCShortName] that [event_target.appointer.GetSheHe] should appoint you as [current_holder.GetCOTCName]'s successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM100;I'll just have to ask [appointer.GetHerHim].;;;;;;;;;;;;;x
EVTOPTBNEPOTISM100;I'll ask [appointer.GetHerHim] to do it as a favor.;;;;;;;;;;;;;x
EVTOPTCNEPOTISM100;Good thing [appointer.GetSheHe] owes me a favor...;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM101;will consider your suggestion.;;;;;;;;;;;;;x
EVTDESCNEPOTISM101;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\n[Root.PrimaryTitle.GetFOA], I believe that I am the candidate best suited to succeed [current_holder.GetCOTCName], and humbly suggest that you appoint me as such in the event of [current_holder.GetHerHis] death or retirement.[From.GetFavorStatus];;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM102;will be pleased.;;;;;;;;;;;;;x
EVTDESCNEPOTISM102;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nAfter due consideration, I have decided to follow your suggestion, and will appoint you as [current_holder.GetCOTCShortName]'s successor in the event of [current_holder.GetHerHis] death or retirement.;;;;;;;;;;;;;x
EVTOPTANEPOTISM102;An excellent choice.;;;;;;;;;;;;;x
EVTDESCNEPOTISM103;[appointer.GetCOTCShortName] has decided to appoint [self_nominee.GetCOTCName] as your successor.;;;;;;;;;;;;;x
EVTDESCNEPOTISM104;[appointer.GetCOTCShortName] has betrayed [appointer.GetHerHis] promise to you and decided to appoint [self_nominee.GetCOTCName] as [current_holder.GetCOTCShortName]'s successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM104;Damn you, [appointer.GetCOTCVeryShortName], you gave me your word!;;;;;;;;;;;;;x
EVTDESCNEPOTISM105;[appointer.GetCOTCShortName] has betrayed [appointer.GetHerHis] promise to you and decided to appoint [self_nominee.GetCOTCName] as [current_holder.GetCOTCShortName]'s successor, rather than your [current_successor.GetRootRelation] [current_successor.GetFirstName].;;;;;;;;;;;;;x
EVTOPTANEPOTISM104;Damn you, [appointer.GetCOTCVeryShortName], you gave me your word!;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM106;will be disappointed.;;;;;;;;;;;;;x
EVTDESCNEPOTISM106;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nRegretably, while your advice is appreciated, I do not believe you are qualified for the position.;;;;;;;;;;;;;x
EVTOPTANEPOTISM106;Well, it was worth a try.;;;;;;;;;;;;;x
EVTDESCNEPOTISM107;[self_nominee.GetCOTCName] asked [appointer.GetCOTCName] to appoint [event_target.self_nominee.GetHerHim] as your successor, but was refused.;;;;;;;;;;;;;x
EVTDESCNEPOTISM108;[self_nominee.GetCOTCName] asked [appointer.GetCOTCName] to appoint [event_target.self_nominee.GetHerHim] as [current_holder.GetCOTCName]'s successor, but was refused.;;;;;;;;;;;;;x
EVTDESCNEPOTISM109;[self_nominee.GetCOTCName] asked [appointer.GetCOTCName] to appoint [event_target.self_nominee.GetHerHim] as [current_holder.GetCOTCName]'s successor instead of your [current_successor.GetRootRelation] [current_successor.GetFirstName], but was refused.;;;;;;;;;;;;;x
EVTDESCNEPOTISM200;You have to decided to recommend that your [nominee.GetRootRelation], [nominee.GetCOTCName], be appointed as [current_holder.GetCOTCShortName]'s successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM200;And I have the authority to do so myself.;;;;;;;;;;;;;x
EVTOPTBNEPOTISM200;I'll just have to ask [appointer.GetCOTCShortName].;;;;;;;;;;;;;x
EVTOPTCNEPOTISM200;I'll ask [appointer.GetCOTCShortName] to do it as a favor.;;;;;;;;;;;;;x
EVTOPTDNEPOTISM200;Good thing [appointer.GetCOTCShortName] owes me a favor...;;;;;;;;;;;;;x
EVTDESCNEPOTISM201;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nGiven your services to both the [Root.TopLiege.PrimaryTitle.GetFullName] and the [Root.GetOnlyDynastyName] family name, I have chosen to appoint you as [current_holder.GetCOTCShortName]'s successor in the event of [current_holder.GetHerHis] death or retirement.;;;;;;;;;;;;;x
EVTOPTANEPOTISM201;Thank you, [From.GetRootRelation].;;;;;;;;;;;;;x
